SKU,angro-offseason,angro-inseason,end-price-offseason,end-price,end-price-inseason
EM G0130,30,41.58,59,99,74
EM G0133,30,41.58,59,99,74
EM G0135,21,28.98,41,69,52
EM G0135,21,28.98,41,69,52
EM G0138,30,41.58,59,99,74
EM G0305,18,24.78,35,59,44
EM G0312,24,33.18,47,79,59
EM G0426,12,16.38,23,39,29
EM G0432,18,24.78,35,59,44
EM G0432,18,24.78,35,59,44
EM G0440,18,24.78,35,59,44
EM G0440,18,24.78,35,59,44
EM G0440,18,24.78,35,59,44
EM G0590,39,54.18,77,129,97
EM G0591,33,45.78,65,109,82
EM G0592,39,54.18,77,129,97
EM G0597 ,33,45.78,65,109,82
EM G0597,33,45.78,65,109,82
EM G0597,33,45.78,65,109,82
EM G0597,33,45.78,65,109,82
EM G0597,33,45.78,65,109,82
EM G0599,30,41.58,59,99,74
EM G05101,33,45.78,65,109,82
EM G05102,42,58.38,83,139,104
EM G05102,39,54.18,77,129,97
EM G05102,39,54.18,77,129,97
EM G05103,39,54.18,77,129,97
EM G05104,39,54.18,77,129,97
EM G05107,39,54.18,77,129,97
EM G05999,33,45.78,65,109,82
EM G0613,42,58.38,83,139,104
EM G0714,42,58.38,83,139,104
EM G0446,18,24.78,35,59,44
EM G0303,21,28.98,41,69,52
EM G0539,36,49.98,71,119,89
EM G0545,36,49.98,71,119,89
EM G0547,30,41.58,59,99,74
EM G0603,45,62.58,89,149,112
EM G0206,27,37.38,53,89,67
EM G0721,42,58.38,83,139,104
EM G05108,39,54.18,77,129,97
EM G0134,27,37.38,53,89,67
EM G0442,30,41.58,59,99,74
EM G05109,42,58.38,83,139,104
EM G0443,24,33.18,47,79,59
EM G0208,27,37.38,53,89,67
EM G05120,33,45.78,65,109,82
EM G0598,39,54.18,77,129,97
EM G05110,42,58.38,83,139,104
EM G05114,33,45.78,65,109,82
EM G0441,21,28.98,41,69,52
EM G0441,21,28.98,41,69,52
EM G0722,39,54.18,77,129,97
EM G0137,33,45.78,65,109,82
EM G05112,39,54.18,77,129,97
EM G05112,39,54.18,77,129,97
EM G09448,27,37.38,53,89,67
EM G09448,27,37.38,53,89,67
EM G0429,21,28.98,41,69,52
