SKU,angro-offseason,angro-inseason,end-price-offseason,end-price,end-price-inseason
EM G0561,52,83,104,139,89
EM G0561,52,83,104,139,89
EM G0454,18,28,35,47,20
EM G05123,36,57,71,95,56
EM G05124,24,39,49,65,34
EM G0212,18,29,37,49,22
EM G0459,14,22,28,37,13
EM G0154,18,28,35,47,20
EM G05128,31,50,62,83,47
EM G0461,18,28,35,47,20
EM G0151,21,34,42,56,27
EM G0533,48,76,95,127,80
EM G0560,36,58,73,97,58
EM G0130-1,24,38,47,63,32
EM G0130-2,24,38,47,63,32
EM G0159-1,22,35,44,58,29
EM G0159-2,22,35,44,58,29
EM G0325-1,20,32,40,53,25
EM G0325-2,20,32,40,53,25
EM G0730-1,29,47,59,78,44
EM G0730-2,29,47,59,78,44
EM G05131-1,36,58,73,97,58
EM G05131-2,36,58,73,97,58
EM G05131-3,36,58,73,97,58
EM G05131-4,36,58,73,97,58
EM G05131-5,36,58,73,97,58
EM G05132,51,81,101,135,86
EM G05133,40,64,80,107,65
EM G05134,36,58,73,97,58
EM G05135-1,33,52,65,87,50
EM G05135-2,33,52,65,87,50
EM G05136-1,29,46,57,76,42
EM G05136-2,29,46,57,76,42
EM G0214-1,24,38,48,64,33
EM G0214-2,24,38,48,64,33
EM G0465,20,32,40,53,25
EM G0161,26,41,51,68,36
