SKU,angro-offseason,angro-inseason,end-price-offseason,end-price,end-price-inseason
EM G05157,53,69,107,178,134
EM G05185,74,96,147,245,184
EM G05167,53,69,107,178,134
EM G0224,31,41,62,104,78
EM G0489-1,31,41,62,104,78
EM G0489-2,29,37,57,95,71
EM G0179,38,49,75,125,94
EM G0753,74,96,147,245,184
EM G0741-1,36,50,71,119,89
EM G0741-2,36,50,71,119,89
EM G0741-3,36,50,71,119,89
EM G0166-1,25,32,50,83,62
EM G0166-2,25,32,50,83,62
EM G05148-1,50,64,99,165,124
EM G05148-2,50,64,99,165,124
EM G05148-3,50,64,99,165,124
EM G05170-3,44,57,87,145,109
EM G05170-4,44,57,87,145,109
EM G05170-4,44,57,87,145,109
EM G05186-1,50,60,99,165,124
EM G05186-2,50,60,99,165,124
EM G05187,44,57,87,145,109
EM G05155-1,44,57,87,145,109
EM G05155-2,44,57,87,145,109
EM G05155-3,44,57,87,145,109
EM G05155-4,44,57,87,145,109
EM G0746,61,79,121,202,152
EM G0221,32,42,64,107,80
EM G0221-1,32,42,64,107,80
EM G0757-1,44,57,87,145,109
EM G0757-2,44,57,87,145,109
EM G0182-1,31,40,62,103,77
EM G0182-2,31,40,62,103,77
EM G0170-1-1,30,39,59,99,74
EM G0170-1-2,30,39,59,99,74
EM G0170-1-3,30,39,59,99,74
EM G0170-1-4,30,39,59,99,74
EM G0490-3,20,28,39,65,49
EM G0490-4,20,28,39,65,49
EM G0743-2,50,65,99,165,124
EM G0743-3,50,64,99,165,124
EM G0208-1-1,30,39,59,99,74
EM G0208-1-2,30,39,59,99,74
EM G0184,23,30,46,76,57
EM G0493-1,29,38,59,98,74
EM G0493-2,29,38,59,98,74
EM G05194-1,50,64,99,165,124
EM G05194-3,50,64,99,165,124
EM G0228-1,25,33,50,84,63
EM G0228-2,25,33,50,84,63
EM G0348-1,31,40,62,103,77
EM G0348-2,31,40,62,103,77
EM G0348-3,31,40,62,103,77
EM G0348-4,31,40,62,103,77
EM G0348-5,31,40,62,103,77
EM G0348-6,31,40,62,103,77
EM G0348-7,31,40,62,103,77
EM G0348-8,31,40,62,103,77
EM G0348-9,31,40,62,103,77
EM G0348-10,31,40,62,103,77
EM G0348-12,31,40,62,103,77
EM G0348-13,31,40,62,103,77
EM G0348-14,31,40,62,103,77
EM G0348-15,31,40,62,103,77
EM G0348-16,31,40,62,103,77
EM G0495,20,25,39,65,49
EM G05159-1,44,58,89,148,111
EM G0626-3,45,59,90,150,113
EM G0626-4,45,59,90,150,113
EM G0626-5,45,59,90,150,113
EM G05200,39,50,77,129,97
EM G0350,21,33,41,69,52
EM G0498,18,23,35,59,44
EM G0499,21,27,41,69,52
EM G04100,19,25,38,63,47
EM G0351,22,28,44,73,55
EM G0497,19,25,38,63,47
EM G04105-1,17,22,34,57,43
EM G04105-2,17,22,34,57,43
EM G04105-3,17,22,34,57,43
EM G04106,14,18,28,47,35
EM G0496-1,20,25,39,65,49
EM G0760,44,57,87,145,109
EM G0218,22,30,43,72,54
EM G0171-4,27,35,53,89,67
EM G0171-5,27,35,53,89,67
EM G0481-1,20,25,39,65,49
EM G0481-2,20,25,39,65,49
EM G05190,42,54,83,139,104
EM G0346,27,35,53,89,67
EM G05161-1,33,46,65,109,82
EM G0219-7,22,30,43,72,54
EM G0219-8,22,30,43,72,54
EM G0219-9,22,30,43,72,54
EM G0185-1,26,34,52,87,65
EM G0185-2,26,34,52,87,65
EM G0185-3,26,34,52,87,65
EM G0185-4,26,34,52,87,65
EM G0227-1,23,29,45,75,56
EM G0227-2,23,29,45,75,56
EM G0758-1,47,60,93,155,116
EM G0758-2,47,60,93,155,116
EM G0758-3,47,60,93,155,116
EM G05189-1,39,50,77,129,97
EM G05189-2,39,50,77,129,97
EM G05198,38,49,75,125,94
EM G05202,41,53,81,135,101
EM G05203-1,36,46,71,119,89
EM G05203-2,36,46,71,119,89
EM G05192-1,41,53,81,135,101
EM G05192-2,41,53,81,135,101
EM G05192-3,41,53,81,135,101
EM G05192-4,41,53,81,135,101
EM G0426,17,22,34,57,43
EM G04107-1,22,28,43,72,54
EM G04107-2,22,28,43,72,54
EM G04107-3,22,28,43,72,54
EM G04104-1,26,33,51,85,64
EM G04104-2,26,33,51,85,64
EM G0230-1,27,35,53,89,67
EM G0230-2,27,35,53,89,67
EM G04103-1,19,25,38,63,47
EM G04103-2,19,25,38,63,47
EM G05191-1,41,53,81,135,101
EM G05191-2,41,53,81,135,101
EM G05215-1,28,36,55,92,69
EM G05215-2,28,36,55,92,69
