SKU,angro-offseason,angro-inseason,end-price-offseason,end-price,end-price-inseason
EM G0773-1,48,69,95,159,119
G01103-1,39,44,77,129,97
EM G0773-2,48,69,95,159,119
G01103-2,39,44,77,129,97
EM G0773-3,48,69,95,159,119
G01103-3,39,44,77,129,97
EMG0773-4,48,69,95,159,119
G01103-4,39,44,77,129,97
250321002,48,67,95,159,119
250307001,36,44,71,119,89
G0831,36,50,71,119,89
G0191-1,36,44,71,119,89
EMG0833,42,58,83,139,104
ЕМ G0240-1,30,33,59,99,74
EM G0833 -1-1,42,58,83,139,104
G0240-2,30,33,59,99,74
EMG0833 -1-2,42,58,83,139,104
G0240-3,30,33,59,99,74
EM G0771,51,71,101,169,127
250318002,33,42,65,109,82
250318003,33,42,65,109,82
EM G0197,33,39,65,109,82
G0778-1,48,67,95,159,119
G01110-1,33,39,65,109,82
G0778-2,48,67,95,159,119
G01110-2,33,39,65,109,82
250321001-1,48,67,95,159,119
250318004,36,44,71,119,89
250308001-1,36,44,71,119,89
250321001-2,48,67,95,159,119
GО834,36,44,71,119,89
250308001-2,36,44,71,119,89
250321001-3,48,67,95,159,119
250318001,36,44,71,119,89
250308001-3,36,44,71,119,89
250421001,48,67,95,159,119
250410001,33,39,65,109,82
250421002,48,67,95,159,119
250410002,33,39,65,109,82
G04117-1-1,24,33,47,79,59
G04117-1-2,24,33,47,79,59
G04117-1-3,24,33,47,79,59
250302001,24,33,47,79,59
250302007,24,33,47,79,59
250302002,24,33,47,79,59
250302003,24,33,47,79,59
250302004,24,33,47,79,59
250302005,24,33,47,79,59
250302006,24,33,47,79,59
250302005,24,33,47,79,59
G04130-2,33,46,65,109,82
24ACT000PL046619090,33,39,65,109,82
250302008,33,46,65,109,82
250302009,33,41,65,109,82
EM G04132,18,19,35,59,44
EM G04132-1,18,19,35,59,44
EM G04132- 2,18,19,35,59,44
EM G04132-3,18,21,35,59,44
EM G04133,18,21,35,59,44
EM G04133-1,18,21,35,59,44
EM G04133-2,18,21,35,59,44
EM G04133- 3,18,21,35,59,44
G04134-1,30,36,59,99,74
250303004,30,36,59,99,74
250303003,30,36,59,99,74
250303005,30,36,59,99,74
G0164-4,36,44,71,119,89
G0164 -5,36,44,71,119,89
G0167-5,36,44,71,119,89
G0167-6,36,44,71,119,89
G0167-7,36,44,71,119,89
G0167-8,36,44,71,119,89
250308002,33,39,65,109,82
EM G0170-2,33,39,65,109,82
250310001,33,39,65,109,82
250310002,33,39,65,109,82
G0231-1,36,42,71,119,89
G0231-2,36,42,71,119,89
G0231-3,36,42,71,119,89
G0830-1,39,54,77,129,97
G0830-2,39,54,77,129,97
EMG0829-1,48,67,95,159,119
EM G0829-2,48,67,95,159,119
EMG0829-3,48,67,95,159,119
EMG0829-4,48,67,95,159,119
EMG0829-5,48,67,95,159,119
EM G00619-1,75,105,149,249,187
EMG00619-1,75,105,149,249,187
EM G0622-1,84,102,167,279,209
G0622-1-2,84,102,167,279,209
G0622-1-4,84,102,167,279,209
G0622-1-3,84,102,167,279,209
EM G0G0641-1-1,84,102,167,279,209
EM G0G0641-1-2,84,102,167,279,209
EM G0641-1,84,102,167,279,209
ЕМ G0646-1,93,130,185,309,232
ЕМ G0646-2,93,130,185,309,232
ЕМ G0646-3,93,130,185,309,232
ЕМ G0646-4,93,130,185,309,232
G0642,84,117,167,279,209
G0642,84,117,167,279,209
G0643,84,117,167,279,209
G0645,81,113,161,269,202
G0645,81,113,161,269,202
G0645,81,113,161,269,202
G0645,81,113,161,269,202
G05246-1,48,67,95,159,119
G05246-2,48,67,95,159,119
G05246-3,48,67,95,159,119
G05204,48,67,95,159,119
G05208,48,67,95,159,119
G05253,45,63,89,149,112
G05238-1,39,54,77,129,97
G05238-2,39,54,77,129,97
,48,67,95,159,119
,48,67,95,159,119
G04122,27,36,53,89,67
G0196,33,39,65,109,82
G70124,33,33,65,109,82
G70124-1,33,33,65,109,82
G70124-2,33,33,65,109,82
G70126,36,39,71,119,89
G70126,36,39,71,119,89
G70126,36,39,71,119,89
G 70126,36,39,71,119,89
G 70126,36,39,71,119,89
G70074,39,44,77,129,97
G70074-1,39,44,77,129,97
G70074-2,39,44,77,129,97
G70150,33,35,65,109,82
G70150-1,33,35,65,109,82
G70150-2,33,35,65,109,82
G70150-3,33,35,65,109,82
G70150-4,33,35,65,109,82
G70150-5,33,35,65,109,82
G70150-6,33,35,65,109,82
G70150-7,33,35,65,109,82,
