SKU,angro-offseason,angro-inseason,end-price-offseason,end-price,end-price-inseason
EM G0734-1,47,65,93,155,116
EM G0734-2,47,65,93,155,116
EM G0735,50,69,99,165,124
EM G0216,33,46,65,109,82
EM G0625-1,89,124,177,295,221
EM G0625-2,89,124,177,295,221
EM G0625-3,89,124,177,295,221
EM G05110-1,56,67,111,185,139
EM G0178-1,32,38,63,105,79
EM G0178-2,32,38,63,105,79
EM G0178-3,32,38,63,105,79
EM G0340-1,32,39,64,107,80
EM G0340-2,32,39,64,107,80
EM G0340-3,32,39,64,107,80
EM G0340-4,32,39,64,107,80
EM G0340-5,32,39,64,107,80
EM G0340-6,32,39,64,107,80
EM G0340-7,32,39,64,107,80
EM G0340-8,32,39,64,107,80
EM G0340-9,32,39,64,107,80
EM G0483- 1,32,39,64,107,80
EM G0483- 2,32,39,64,107,80
EM G0483- 3,32,39,64,107,80
EM G0483- 4,32,39,64,107,80
EM G0484-1,35,42,70,117,88
EM G0484-2,35,42,70,117,88
EM G0484-3,35,42,70,117,88
EM G0484-4,35,42,70,117,88
EM G0485,28,34,56,94,71
EM G0488-1,35,41,69,115,86
EM G0488-2,35,41,69,115,86
EM G0751,56,67,111,185,139
EM G0181,32,38,63,105,79
EM G0752,56,67,111,185,139
EM G05181-1,50,59,99,165,124
EM G05181-2,50,59,99,165,124
EM G05181-3,50,59,99,165,124
EM G0754-1,59,70,117,195,146
EM G0754-2,59,70,117,195,146
EM G0754-3,59,70,117,195,146
EM G0754-4,59,70,117,195,146
EM G0336-1,28,33,56,93,70
EM G05159,44,52,87,145,109
EM G05184,59,70,117,195,146
EM G0490-1,20,23,39,65,49
EM G0490-2,20,23,39,65,49
EM G0755,53,63,105,175,131
EM G0341,26,31,51,85,64
EM G0342,23,27,45,75,56
EM G0343,21,25,41,69,52
EM G0344-1,29,34,57,95,71
EM G0344-2,29,34,57,95,71
EM G0344-3,29,34,57,95,71
EM G0344-4,29,34,57,95,71
EM G0491,23,27,45,75,56
EM G0225,27,32,53,89,67
EM G0180,32,39,65,108,81
EM G0345,22,26,44,73,55
EM G05176,44,52,87,145,109
EM G0226,29,34,57,95,71
EM G05183-1,43,51,86,143,107
EM G05183-2,43,51,86,143,107
EM G05156,47,56,93,155,116
EM G0636,,90,122,204,153
EM G0637-1,,75,107,178,134
EM G0637-2,,75,107,178,134
EM G0638-1,,80,119,198,149
EM G0638-2,,80,119,198,149
EM G0639,38,45,75,125,94
EM G0640,35,41,69,115,86
