SKU,angro-offseason,angro-inseason,end-price-offseason,end-price,end-price-inseason
EM G05138,41,49,81,135,101
EM G0622-1,83,99,165,275,206
EM G0622-2,83,99,165,275,206
EM G0622-3,83,99,165,275,206
EM G0622-4,83,99,165,275,206
EM G0713,47,57,94,157,118
EM G0203,33,39,65,109,82
EM G0732-1,56,67,111,185,139
EM G0732-2,56,67,111,185,139
EM G05140-1,44,52,87,145,109
EM G05140-2,44,52,87,145,109
EM G0733-1,56,67,111,185,139
EM G0733-2,56,67,111,185,139
EM G0215-1,35,42,70,117,88
EM G0215-2,35,42,70,117,88
EM G0439-1,29,35,58,97,73
EM G0439-2,29,35,58,97,73
EM G0439-3,29,35,58,97,73
EM G05139,49,59,98,163,122
EM G05139-1,49,59,98,163,122
EM G0468-1,32,39,64,107,80
EM G0468-2,32,39,64,107,80
EM G0468-3,32,39,64,107,80
EM G05141,41,49,81,135,101
EM G05142,44,53,88,147,110
EM G05144-1,32,39,64,107,80
EM G05144-2,32,39,64,107,80
EM G0328-1,31,37,62,104,78
EM G0328-2,31,37,62,104,78
EM G0328-3,31,37,62,104,78
EM G0469-1,29,35,58,97,73
EM G0469-2,29,35,58,97,73
EM G0329-1,29,34,57,95,71
EM G0329-2,29,34,57,95,71
EM G0329-3,29,34,57,95,71
EM G0737-1,50,59,99,165,124
EM G0737-2,50,59,99,165,124
EM G0737-3,50,59,99,165,124
EM G05146-1,62,74,123,205,154
EM G05146-2,62,74,123,205,154
EM G05147-1,50,59,99,165,124
EM G05147-2,50,59,99,165,124
EM G05148-1,50,59,99,165,124
EM G05148-2,50,59,99,165,124
EM G05149-1,41,49,81,135,101
EM G05149-2,41,49,81,135,101
EM G0466-1,32,39,64,107,80
EM G0466-3,32,39,64,107,80
EM G0624-1,71,85,141,235,176
EM G0624-2,71,85,141,235,176
EM G0467,32,39,64,107,80
EM G05150,47,57,94,157,118
EM G05151,44,52,87,145,109
EM G05152- 1,41,49,81,135,101
EM G05152-2,41,49,81,135,101
EM G0736-1,56,67,111,185,139
EM G0736-2,56,67,111,185,139
EM G0162-1,32,39,64,107,80
EM G0162-2,32,39,64,107,80
EM G0738-1,44,52,87,145,109
EM G0738-2,44,52,87,145,109
EM G05110,62,74,123,205,154
EM G0739,83,99,165,275,206
EM G0327,29,35,58,97,73
