SKU,angro-offseason,angro-inseason,end-price-offseason,end-price,end-price-inseason
EM G0756-1,44,52,87,145,109
EM G0756-2,44,52,87,145,109
EM G0633-1,62,74,123,205,154
EM G0633-2,62,74,123,205,154
EM G0762-1,69,82,137,229,172
EM G0762-2,69,82,137,229,172
EM G0619-1-1,75,90,149,249,187
EM G0619-1-2,75,90,149,249,187
EM G0622-1,83,99,165,275,206
EM G0622-1-2,83,99,165,275,206
EM G0622-1-3,83,99,165,275,206
EM G0622-1-4,83,99,165,275,206
EM G0622-1-5,83,99,165,275,206
EM G0622-1-6,83,99,165,275,206
EM G0622-1-7,83,99,165,275,206
EM G0763-1,59,70,117,195,146
EM G0763-2,60,72,119,199,149
EM G0763-3,59,70,117,195,146
EM G0763-4,59,70,117,195,146
EM G0763-5,59,70,117,195,146
EM G0748-1,47,56,93,155,116
EM G0748-2,47,56,93,155,116
EM G0220-1,32,39,64,107,107
EM G0220-2,32,39,64,107,80
EM G0220-3,32,39,64,107,80
EM G0220-4,32,39,64,107,80
EM G0220-5,32,39,64,107,80
EM G0730-1-1,44,57,87,145,109
EM G0730-1-2,44,57,87,145,109
EM G0747,56,72,111,185,139
EM G0825,39,50,77,129,97
EM G0743-1,50,59,99,165,124
EM G0167-1,32,38,63,105,79
EM G0167-2,32,38,63,105,79
EM G0167-3,32,38,63,105,79
EM G0167-4,32,38,63,105,79
EM G05197,47,56,93,155,116
EM G05193-1,50,59,99,165,124
EM G05193-2,50,59,99,165,124
EM G05218-1,36,43,71,119,89
EM G05218-2,36,43,71,119,89
EM G05219-1,48,57,95,159,119
EM G05219-2,48,57,95,159,119
EM G05219-3,48,57,95,159,119
EM G0492-1,29,35,59,98,74
EM G0492-2,29,35,59,98,74
EM G0492-3,29,35,59,98,74
EM G0492-4,29,35,59,98,74
EM G0349-1,31,37,62,103,77
EM G0349-2,31,37,62,103,77
EM G0229-1,27,32,53,89,67
EM G0229-2,27,32,53,89,67
EM G0229-3,27,32,53,89,67
EM G0229-4,27,32,53,89,67
EM G0329-4,29,34,57,95,71
EM G0466-4,32,39,64,107,80
EM G0467,32,39,64,107,80
EM G0335-3,27,35,53,89,67
EM G0335-4,27,35,53,89,67
EM G0335-5,27,35,53,89,67
EM G0770,44,60,87,145,109
EM G04108-1,32,38,63,105,79
EM G04108-2,32,38,63,105,79
EM G04108-3,32,38,63,105,79
EM G04108-4,32,38,63,105,79
EM G04108-5,32,38,63,105,79
EM G04108-6,32,38,63,105,79
EM G04109-1,35,41,69,115,86
EM G04109-2,35,41,69,115,86
EM G04109-3,35,41,69,115,86
EM G04110-1,32,38,63,105,79
EM G04110-2,32,38,63,105,79
EM G04102-1,29,34,57,95,71
EM G04102-2,29,34,57,95,71
EM G0178-3,32,38,63,105,79
EM G0632- 1,71,85,141,235,176
EM G0632- 2,71,85,141,235,176
EM G05205,44,52,87,145,109
EM G05208,47,56,93,155,116
EM G05199-1,36,50,71,119,89
EM G05199-2,36,50,71,119,89
EM G05207-1,42,50,83,139,104
EM G05207-2,42,50,83,139,104
EM G05206-1,42,50,83,139,104
EM G05206-2,42,50,83,139,104
